ASV,EG
7f6dbe77855da438023cccaac627cedb,I
80814dcaa6340fe15c2e596526af383b,I
8156e83d37da04b76ee39fe94cd19c40,I
83502a92f9bf4fbf2c53440cb5f9a33d,I
8397d75d4caa533de94b8bd4b78060c6,I
86f73b3db591db5d65f945174169cfc4,I
8768689c13e84002b14c36bb03c2c6b9,I
89668021bf8b12f07d4d7d357960491b,I
8d07feadf5ca25449828ef51304c6d7e,I
8df27e0ea431b21cb7ff0326cb419e32,I
8ed2d2e39a2bcfe2194e1b112a7bcb45,I
8f862e88e3a3667bc1dcfd2c527550b3,I
91f1f407f5f1b61e9224f1d776789130,I
92c4bd321c58a2ddaaaedb13098a1244,I
940190f63c5b59efcb66ad5a08f5c73d,I
96f20d6917d9c34646156c72f587a6cb,I
97421f243e37196deb366f9d15e65b7f,I
97c3cdc65827def2fa86de308433aeb4,I
9869d5e777287ecd63adb96f7ccb7c00,I
9ba792dcf4554abafe7c5d7b59cf4d40,I
9e06b3902c770ca7c4ab3b2bc6160454,I
9f6f2ccd9943ba5330e77f8d9012eae5,I
9fd36d8e77fb06434c6c7912f44a3ef2,I
a075db3f338ee32eee153896025a0f1b,I
a0e8ce5118a54ccdac66d3c9f165e55d,I
a213c29ab49fb578c7548a56745c47d0,I
a466ee1b2abfea8798f70f21f33a4af0,I
a4813244b737760590d211d2c4a685b4,I
a51e7ccf5de23b167f459b4a38d68f89,I
a88a6c7f8bd0616f58b936c8ad9ac85b,I
a91e7ccd91869635149ec19ef742e25c,I
a99ef41f6a16bda0b11d79fa112cf23b,I
aabd5d825319abaf4bc753df186b8c4b,I
ab7964ac96d132910b96795d4411a8b3,I
acd9e10c9c5585f165b80312f52e0044,I
b0c7a5bc15e455eb94a5804b709d512a,I
b1174cf24eee082226be6d34d92cc5a9,I
b258d1119facaf6ddf1b23b8dcbd945d,I
b2cfb47d387c6190258f9330876fdd62,I
b3125235a8d99f36c9cdcc9ac8ecc658,I
b3635496fc865aee6b92ebc52130352d,I
b3f3c9e6976a6c20d3f17f3e5f6f2118,I
b3f5961883e9e0eac835c705532026a3,I
b83c4438329f643d2e0614744faae808,I
b83da4321e4debcc161aa844597a9bce,I
b8774ae5e6fca16e341e44aab1591087,I
b96055b00ecbae4d98aaa5314d1ddfc2,I
baf2ecbe2878265541f1af63264e49e7,I
bb665e764c8d33047095cbeaa97b3501,I
bbe5dcb91473ab9e699e25a5bafb92d2,I
bc65a712e2363443fd6c44d5783fbcee,I
bcd5a6d58c6b8fb9ba9c2fd3a547eafb,I
bf188d6742c12223ebb036545588671c,I
bfcf035da7b0df5f60a06cd0756d245e,I
c0521e4156f1bee2d254e2d817b6971a,I
c4128eec4972dedff2e0449b07d9c5ea,I
c41c361f895c88b439cb464c12b892a7,I
c495a11c3dfd7c3e57a3abc3ab5b454a,I
c57caa0a1dba2c8bb1ce0f41f8cc3635,I
c974f694b684428ffc90c16e1e42c4e5,I
cb942a50840cf469eeb6759f70df1f8c,I
cba76f6244a968e6c78c20017b99b0a4,I
cd55010c021bc5d92d11ac12129ffb17,I
ceaf3cea794ce32ead7cefe6531241a0,I
d1a23014666a28dd976e0840e75dbaff,I
d48ebba0da5a283d16207a3c4084ae2d,I
d635eafbef0e0aaeb1dbdb4ef3367202,I
d86f284e0251efde0aef091f5c2b20da,I
d8e58724f8d541082a70afc5b2b6a4cc,I
d9a961ec3e797c54931a36bab14afced,I
dc549fba083abdc8c4a9f283cfb0f8ba,I
dc9638cee73fecc68a54f9f6a56bc8a3,I
dcaa4540916c20dca9ba6221ac3399c3,I
dcd2f551ef567c59a58ae6cdc8311607,I
dfb55419adf3674fdd1f71beb23c1e67,I
e03ba081d3617a9eec602219b5ae75af,I
e122b9627370a401da20972ba410d6fe,I
e17d18e9f901a66d7667083b578b871c,I
e2f6f0a6e4ce063a2b935b2d45d7442f,I
e6342017209cb55335276a57f5d81bb9,I
e8e3cca8de2a5cb4540cfc4212e0bedf,I
eb21d6fa3281a923fb9eaa8f5bd0a1ac,I
eb22d826d1405912dd6e84b595e7c10e,I
eb5d843d142ce3b34d38ca524d6eafa3,I
ec1ff1bdebcf9d35f9ecfd83540571a0,I
ede802d4aa12353b40b5c7e34eee92e5,I
f0409b34d7a4268d6e1a98cc7b2ccd73,I
f0fbcbe59ec36887f58538803e7bf08d,I
f2aaaf726d39b1184aebff10ae8dc7d4,I
f2bc4f9ae664308c49b0c5d4a6bc1078,I
f40f3b0e28de7f718dbf26d760db4aae,I
f65ea057312d56138c6367c7cfcb1ec2,I
f88355f7f1ee09b25c0228edbab09717,I
f8fe9f6361a24ea645880fad2d5a5a46,I
f9639888fc11595804b6b03c43d0ddb0,I
f983652a58379e036a269aee10757ee0,I
fb7aa660d61b020a85ffea540bf6d0d6,I
fbae63938dfdee8cb8067044f8ec5680,I
fbea82d3c7bb3303a3b3ff50a2b389cb,I
fddcb5cfadf00f29fdf6833bee372a7a,I
fdefed33d3be5c45faa252b93c847504,I
010225553a39e15e7f39ef2335d4a98f,II
026fc1b1ec6eabb504c46dd32a64781b,II
0cb17540b997d92adf8136106f8b4028,II
0d979846b9346c2fc7ac70bb46a981ea,II
12db35ca2921d6fc484f368853128ae1,II
1764719fa2b787365a4e6342cbbd4cbf,II
1a1b0e971fecdbaaf180cc006ae2ee39,II
1c3341e2c9439d5cc097464a09e4b086,II
24d66191110c30402f6b3a5a5ad89f6c,II
2663d8277b07f46c4b6872bbd045442b,II
2e2a9a944cf634cf96fb94463fc266f2,II
2f8d76418ea8b04481cd02cbf2c128bc,II
323f8385058933f87d56874249eb2d73,II
34efd7b3945eeaf087a581832a1cc09e,II
3560f8a7da2cca82a7fdf0fcce5e917f,II
37f931df32182f576e0acdd68ed4c00c,II
3aabc05c6fde6c513214bfe360f8a8dc,II
3b015eb4e570add6d7f4cfad1601a568,II
3d65e5da1674ab4ce2a0a3365b6a8e28,II
3d6f70f6348d4edd154171ea841ca92f,II
3dbbd25df159fc88d337116c36bacc48,II
3e174a07a4bf356ad20b2d6cc6d999b1,II
3ec83a11b51212fb4441f64f4576c01d,II
4057cc4482ed01d210efbc2a199f0bdc,II
406f8bffaaf4ff60ce50b725154f7b37,II
411453fbbeef87bbf7e4cc0cf6464152,II
42d401d79931307c4587b1615b03c644,II
42e3435919c93fb0dc5d634608fd57ff,II
44521f329c96645d5e469d2a5f60ecc0,II
4512d113a67163d52f3e43486f10d745,II
493fb3928c9b8510257840dcba58d1e3,II
59105583eed2e7f6346ab0ebadd1816c,II
5a89259a06393932e0cc43f01a4690be,II
5db205ea89de256119a394a50fc59714,II
628c1fd956ce04b0bc316fc05b4c0512,II
6334334da93163f2f126b6e54fb28627,II
6492607211d46e44d19e10adcb5455fc,II
67c616997f51e7257d37e5f39f20ead0,II
684221aa2efd96121aa3bbbdbbe8513c,II
6b97bbbf2f3c43a651662ddc879e0bdd,II
71a6e6b7709efd4adacc18ca3206a7ac,II
730abce4b2b716a040d3247a1121ac3e,II
75e237681c650b348dc687a9a820b64a,II
83c091e042ae530a9cd16e37abecf268,II
8a77a3350b300bb39cd829031f72d380,II
8e166771247b02af94e0c24a13fd825b,II
8e24d393a7aba576f692dfd3634ebadc,II
8ede44a1daaad54f461031190278ff46,II
9081fb84c6ca88d1bac5e63a964b1da5,II
9128971a53f514932b584c643cf631e4,II
97290e38fdf4a092212289a777d99b54,II
9b2dc7c6a08a1ce3ec6d9c24431e37b4,II
9b606f3a38a93a925707459708840a99,II
9dfb30d2adc571bc8880ae43fda8c47e,II
9f478be879f86e6d7c91831824293a35,II
a01394cbd1bf503a35ddf4ce72440e06,II
a0be8367626a05c2092462cba65f5f57,II
a355b6d4d20a335a4318f736b1a3bada,II
a3a583e68b8d7172866e0b7fcbbe8323,II
a417eac9a93b4aef946b35c455f46114,II
a4dae48aba7b1f899092aad2b129fa28,II
a7994aa934bcfcf00ec8e79868935afe,II
ab918c96975fe550be0d378a50840597,II
ac61660fff0a8e06ede0b10090c9a2e1,II
acfd1549b062c4770c6edc396b7ba5af,II
ae1508412c2082919056f81e6a1351ba,II
b10e58fcc7a74f028ac0df245b66336b,II
b3b721a313b578fb02601400deb3d514,II
bbd17b9467fdcc57a5042fde1badc522,II
becf935275aab969ec4e03038f40bab0,II
bf8b8ae47af00b4c9e9f75915945adc3,II
c022f0f737d50d3b78f712885415c98a,II
c1dc6114daf2b617186123981686a80a,II
c2707eaabddca4aa11a1139b70b22fc7,II
c66775290f6143ac8e99378cce5dea94,II
cafe7b80b3c4444fc94c6dd50fcbc08c,II
cb6ee9a71ecd484d11a91f81c31bc982,II
cd1011ec28c9fed203617b2e0b906433,II
d4ec66bee9ad3bca7d8285a227994f13,II
d9ae54158a4ba621c95f45a4fef3a091,II
dd106ce2cd342ffd5b3a0045f6f14cf5,II
dea3b852e0133c0a5fa3541e485312c8,II
e1e3b1ac0b170149d1c63852462af44f,II
e4099d7ed66ae14d83fcd5145a51341e,II
eaf11478da145ac2244e4ef295242fca,II
eb7c90978514cb0043c003f7d28d878b,II
eeac07e65bacda44c34e5c76f2ddb24b,II
f0715f373cac7a75f584199e62ab0481,II
f29f918b787bb06ec323d8269104fae1,II
f4d37966df323426f1fafb4b7201d346,II
fbce970a0d79162ecf44b8ab3b925c1f,II
fd0e7efd29cd48319465937fa0485504,II
fd951b675e724ef97617d3d81922e250,II
fef71a145db09856f9901dfd8f8af154,II
01567457c653f872ec4ef169240459b0,III
5f2f9e4f05556e4fbe65aa084aedfbf6,III
5f8f50d8f213dde2b7953a9659ed7349,III
a4c73da9c81dc0ec2f51f97b8cfc577e,III
b652f253d1691eb1f5fa273377d5063b,III
eb160fbab65f6096a1992e4e41aa7030,III
0da97a60b14cdb6829abc56800245fd9,IV
12bb7bb8d54fd7b99ca659b89efbdbb1,IV
1dc13dc617489e0c8dbf932064f6b385,IV
30e9c9a2a7f8096ad08e0fdd2cd5a391,IV
35d3d02766bce4b9707cc71f06ce4037,IV
38591ba2560ac9e2f6d93bc763f0ea19,IV
387d1a7660d08647168751872b69fc71,IV
3a75f2070244a0e2d9031b842f830b28,IV
499dd3afb8297aba470bfeeea4408139,IV
5cb119d4c90a1ae938051f3db2a935db,IV
5f17061e20dd0d16e7935cc13bfb6cbe,IV
664c9c0b2a4e85a064fa9852c1f720c6,IV
680434c16a01ef348175cb76d54febac,IV
6c4edbd27940e1c6b86aeb3426a18903,IV
6c8a4538f2fb2c3ea98fb3a6af13f916,IV
70e2f41d27005dd9e3d4036c725fd817,IV
763ef1894c3e13c5b88cad73217b9d3a,IV
7670c2ba03b861ea3a96782d1abcea28,IV
78221e5a9cc22c93c19204a21f3f85a7,IV
843043f4beb0275b6261a5392399868b,IV
89add1f18c8eb3a1cc5855e35432ba80,IV
8b26ab3d887315976ca1f0a7031d8bde,IV
8b4d395c182a001be5746f0ba91dcca4,IV
966304bd373e094761793c0842426490,IV
998ad502fceeb6630530b42d25713b83,IV
a9c82f34840dd28f534652dd54b3ff32,IV
aedb28f55c6a657ad79540b985b9704a,IV
b71b4fa156f068f0b833b7110dc2cdb1,IV
baa42de3a5d8527b3516defa8bd78576,IV
bbad2157282f2298e86273344b990ff5,IV
c1fd0a148870d579c8587f43df5c2954,IV
c4ced127bc46a7ac1a86c9ba51133df2,IV
d098b4a4cdbc0a5d17f806dfd5e8e81e,IV
d37ede125f15e54e4ff8d2f1b00af0fd,IV
d941ee3bbd30ea5f3d98358dee99bd95,IV
d9ee7df3db2a4245c8305db39d05b09c,IV
e1bc237156bfbecd56d35a5e67736d4b,IV
ea99a984bee29ac39700c3e202c39243,IV
ebf5622620283b333a52baad221e965c,IV
ec1731cb1774e48764f86e5ad35c18eb,IV
f2023dd24c1f7f462ca496fdfff5e1df,IV
f370f17354355c635fa9f99aade8c0fc,IV
f6789a2aea64a26bf534fa4ac0a7d2d8,IV
093f0e4acf7a9cdff3e487117170c351,V
0e65a507e27557375f8f6894765db5c4,V
1cfb9f8c8a3c137928e17c76362efd48,V
1dda21b1c483bf226168ee546a3c6735,V
1ee84c46fd56893080e3aea9ca3d6466,V
3abcc0f23ff3abb56497b378573cad7a,V
408a316596985a826c7aadff2e5b74b1,V
434f67b6b7fe51ddbafaa072c7c4d177,V
465a522c2783520dd22b9c0cb5c649b8,V
5060199294f73e047997aa1ca26b19fc,V
526103bf909035079fdff72e33614870,V
56d8af00f004d06b3db5706f523c151c,V
58451cdbbd2f3469c3420dbc109132c6,V
5b9e0e00f7ff65d477aaf5ae0d9f9d7f,V
6037fc2221adae30247ca3fb00df5f84,V
61b26c490131f2f1575396f1891fe919,V
6ac6a3f43e6276fc22900940d4313cec,V
6f9f8fbeba543dd088eda1aec667ce66,V
72794e1190e4ea6be9e72124089faf23,V
73e0a81c8514670f6e228c3fd57b6397,V
78f2f3537a5fb429222eb1f1b4033cd0,V
819a82d8ef065907b7a5130c8e75c6d1,V
822fda7fe3a3524ab327676efccc7dfa,V
893f732a44938757e344ca50ff5d433e,V
8b4d4c4511de38f04d7d932fb2228045,V
8d0fdac7d685b535c09ea9a6c06d8fd1,V
948cbc592cb1273d54002d864704a9df,V
94b3c6f696649467c4dd87ff4b069f0d,V
95648303f90f94f4458c1bfde95b5067,V
9a491eaae9c9b2a5f843de44d811a0b0,V
9ec2290ca7507f8be9bd0ba34ebeb248,V
b09abac8db19f0534f7abe4c48db0a63,V
b8edae706a02d58731d0f7683c82a5aa,V
b93caca59ac80587284a3de1d99717b5,V
c8eb8e0adb2696fd4d48acffe7501be0,V
cd46a6c2515dc35a0af30d93a5504ec6,V
ce6d100acf6a5f9283f98fa3667a7fdf,V
e986a867b13497095db922c534cd5e00,V
ef3a8f4da0196dfd12bbb6324b15acc8,V
f13039bc9985782691b429488679b443,V
fa4fb902821ff15ff51dbe8ed30eb7a3,V
fcd0b3da18764a16f80f8ec6ac891b69,V
38183178d7e91bd46af223dcfc6fca9e,VI
e635d1beb26d4e010e7efcdfd1c64ea5,VI
f52cbd441a70901f956130a14c428b20,VI
ad362128f548a391693fe6a28f4327ce,VI
36b502dd39af4af0b2d311b310f20779,VI
26756df2d78693f9f361356ea4f724e8,VI
63df69b8e622c8eead29aa3cbd49b0d6,VI
f3cc893d210a97b805b71d042d2a5a1b,VI
54bac8a0a1e145313b22d6f2cf5638a6,VI
a76a00bca076154bb75345bab0a12936,VI
7e886db620031c0b83b43563374e53a7,VI
837c1a38d08d3095b38f4197179e7744,VI
1ed3793236623bf4d0de6c2ab4c0c4bd,VI
7cceaf324844f271346deab7142918c8,VI
0dd1fa74e29c2bfd2b0ca9d27c8551fc,VI
fd33080e9d05f84b651a6d76847b67fa,VI
92e4b4e2891a5ececbecf0de479ba988,VI
c37784ebe2e7ee21bb0455e7ffe5228c,VI
4ef92c1b14f5deffcfb9fa1c1c87ed8d,VI
4016106db6ae5c099491e3fc8622bb3d,VI
9ddbbeaaa7adec296a16e4070df89695,VI
f3f7a186ccfe3d39414a4006e36e6014,VI
b13bf1f04bdb4dd120f31ee0d55bc700,VI
766b083c6e33e348b6033c483608c8ad,VI
7bded401cf0b1f14838c63db46b04176,VI
bf6d825e05a8cfe73c6182adf4974b46,VI
44b8a1cc477989f1971ad638d0e96cd6,VI
57b972706d8d654f31f47e4a7e2b282a,VI
9afb1baf42c5812b422652e4594b8ea3,VI
a09c7a3dc80ac9b3045c28f7ec27382a,VI
ef1999c6a0e7466c97b0be74f9cf19b0,VI
54b6e3e18fb183685a467f71691231f3,VI
3de262152efaedfb45ce249daf1c250b,VI
b0282eb3f27e96b4c135623a041aae43,VI
1a175b9ace8a27d4e608a3c0a3190f59,VI
00e2adbb939a1916fbc3eebea354c4f4,VI
d0cc177955a4f2ed368dd9898fb9d945,VI
34ada0d575f26e5a0b6b8439443b26ae,VI
f64b72d9eea7fd0c1a04801a94260fff,VI
df7632c2eb6f09cc7d6ebc2acd102f58,VI
1d78767e11235a365cfe67a325b6f718,VI
0853ba94505281804dcfa5d67573c98e,VI
6e528afa339c4649d76ba9b00e5379b5,VI
ea8980400b88375c970d103139e748db,VI
529a450ebb1a39cf707fea339d988121,VI
